FeatureSet,Model,Accuracy,F1 Score,AUC
MinMaxQuantile,Logistic Regression,0.682896379525593,0.5993690851735016,0.7543845642049234
MinMaxQuantile,Random Forest,0.6991260923845194,0.637593984962406,0.7852162341982701
MinMaxQuantile,Decision Tree,0.6354556803995006,0.5305466237942122,0.620602129075183
MinMaxQuantile,Gradient Boosting,0.6803995006242197,0.6268221574344023,0.7513805721889555
MinMaxQuantile,XGBoost,0.6928838951310862,0.6203703703703703,0.7778775781769793
TrendDiff,Logistic Regression,0.6766541822721598,0.5959438377535101,0.7548236859614105
TrendDiff,Random Forest,0.6878901373283396,0.625748502994012,0.7717398536260811
TrendDiff,Decision Tree,0.6554307116104869,0.5619047619047619,0.6449600798403194
TrendDiff,Gradient Boosting,0.6704119850187266,0.6162790697674418,0.7537924151696607
TrendDiff,XGBoost,0.6691635455680399,0.5852895148669797,0.7679374584165003
ExtremeFlags,Logistic Regression,0.6766541822721598,0.594679186228482,0.7531936127744511
ExtremeFlags,Random Forest,0.6941323345817728,0.6359583952451708,0.7778509647371923
ExtremeFlags,Decision Tree,0.6329588014981273,0.5258064516129032,0.6175016633399867
ExtremeFlags,Gradient Boosting,0.6791510611735331,0.6280752532561505,0.7573519627411843
ExtremeFlags,XGBoost,0.6629213483146067,0.5807453416149069,0.7624617431803061
InteractionFeatures,Logistic Regression,0.6754057428214731,0.5886075949367089,0.7522222222222221
InteractionFeatures,Random Forest,0.6916354556803995,0.6251896813353566,0.7773453093812375
InteractionFeatures,Decision Tree,0.6317103620474407,0.5440494590417311,0.6251430472388556
InteractionFeatures,Gradient Boosting,0.6816479400749064,0.6309696092619392,0.7650033266799734
InteractionFeatures,XGBoost,0.6779026217228464,0.5930599369085173,0.7509913506320692
StdFeatures,Logistic Regression,0.686641697877653,0.6022187004754358,0.7539321357285429
StdFeatures,Random Forest,0.6991260923845194,0.642962962962963,0.7720326014637392
StdFeatures,Decision Tree,0.6754057428214731,0.5873015873015873,0.6659913506320692
