,latitude,longitude,FBFM_VALUE
0,2210220.0,-2345040.0,-9999
1,2199390.0,-2341380.0,-9999
2,2207310.0,-2337480.0,-9999
3,2176050.0,-2347290.0,-9999
4,2124360.0,-2060970.0,12
5,2212200.0,-2343930.0,-9999
6,2208150.0,-2337120.0,-9999
7,1505970.0,-2128500.0,-9999
8,2170200.0,-2345490.0,-9999
9,2217330.0,-2339880.0,-9999
10,2192370.0,-2345220.0,-9999
11,2192130.0,-2344740.0,-9999
12,1507020.0,-2118570.0,-9999
13,2167740.0,-2348130.0,-9999
14,2187900.0,-2346270.0,-9999
15,1540710.0,-2182980.0,-9999
16,2184450.0,-2344050.0,-9999
17,2223990.0,-2345280.0,-9999
18,1516950.0,-2144220.0,-9999
19,1500360.0,-2113860.0,-9999
20,1512780.0,-2135670.0,-9999
21,2192370.0,-2346120.0,-9999
22,2213400.0,-2339010.0,-9999
23,2180220.0,-2347680.0,-9999
24,2174100.0,-2346540.0,-9999
25,2210160.0,-2341950.0,-9999
26,1511370.0,-2133120.0,-9999
27,1535250.0,-2171580.0,-9999
28,1516260.0,-2126880.0,-9999
29,2180580.0,-2341890.0,-9999
30,2228580.0,-2345910.0,-9999
31,1513680.0,-2127030.0,-9999
32,2193540.0,-2339280.0,-9999
33,2219220.0,-2341950.0,-9999
34,2186190.0,-2343660.0,-9999
35,1512000.0,-2124600.0,-9999
36,2223630.0,-2346120.0,-9999
37,2191380.0,-2339430.0,-9999
38,1522770.0,-2146410.0,-9999
39,2211090.0,-2339010.0,-9999
40,1519860.0,-2144820.0,-9999
41,2196660.0,-2345340.0,-9999
42,1520700.0,-2136960.0,-9999
43,2202240.0,-2345790.0,-9999
44,2216550.0,-2348370.0,-9999
45,2232300.0,-2347680.0,-9999
46,1503900.0,-2119200.0,-9999
47,1519200.0,-2147280.0,-9999
48,1516620.0,-2136960.0,-9999
49,2223300.0,-2343720.0,-9999
50,1518030.0,-2136810.0,-9999
51,2205780.0,-2346300.0,-9999
52,2221770.0,-2345430.0,-9999
53,2183730.0,-2345130.0,-9999
54,2181900.0,-2342910.0,-9999
55,1528170.0,-2161890.0,-9999
56,1513770.0,-2135970.0,-9999
57,1511070.0,-2126760.0,-9999
58,1497660.0,-2113020.0,-9999
59,2211930.0,-2340570.0,-9999
60,2194950.0,-2346000.0,-9999
61,2224920.0,-2345280.0,-9999
62,1532940.0,-2169900.0,-9999
63,2189400.0,-2345820.0,-9999
64,1518330.0,-2134920.0,-9999
65,1523550.0,-2145990.0,-9999
66,1503060.0,-2118510.0,-9999
67,2218590.0,-2343690.0,-9999
68,2225730.0,-2346540.0,-9999
69,2181690.0,-2337150.0,-9999
70,2204010.0,-2340900.0,-9999
71,2189640.0,-2339310.0,-9999
72,1504200.0,-2117970.0,-9999
73,1517040.0,-2137560.0,-9999
74,2202060.0,-2342250.0,-9999
75,1518720.0,-2142930.0,-9999
76,1498830.0,-2118630.0,-9999
77,2201400.0,-2341350.0,-9999
78,1515660.0,-2133810.0,-9999
79,2233080.0,-2344770.0,-9999
80,2179860.0,-2338590.0,-9999
81,1519260.0,-2132430.0,-9999
82,2181630.0,-2339190.0,-9999
83,1539930.0,-2180130.0,-9999
84,1501740.0,-2123430.0,-9999
85,1496940.0,-2111550.0,-9999
86,2181420.0,-2347800.0,-9999
87,2209110.0,-2338020.0,-9999
88,2212710.0,-2345850.0,-9999
89,1518330.0,-2147730.0,-9999
90,1524660.0,-2158290.0,-9999
91,1513950.0,-2135910.0,-9999
92,1521990.0,-2141670.0,-9999
93,2201070.0,-2341740.0,-9999
94,1512900.0,-2140650.0,-9999
95,2193480.0,-2344170.0,-9999
96,1514070.0,-2133090.0,-9999
97,2206860.0,-2343510.0,-9999
98,2227860.0,-2345040.0,-9999
99,1518090.0,-2145030.0,-9999
100,2131020.0,-2347260.0,-9999
101,2210160.0,-2347530.0,-9999
102,1526610.0,-2159220.0,-9999
103,1997370.0,-2301480.0,12
104,2242980.0,-2348190.0,-9999
105,2242200.0,-2348100.0,-9999
106,2232180.0,-2336100.0,12
107,2223120.0,-2340630.0,-9999
108,2207040.0,-2344110.0,-9999
109,1511280.0,-2138640.0,-9999
110,1522320.0,-2149740.0,-9999
111,2235900.0,-2347680.0,-9999
112,2189250.0,-2346690.0,-9999
113,1504710.0,-2123250.0,-9999
114,2185950.0,-2347200.0,-9999
115,2210070.0,-2348610.0,-9999
116,1524390.0,-2156970.0,-9999
117,1519260.0,-2139570.0,-9999
118,2178450.0,-2341740.0,-9999
119,2172150.0,-2344200.0,-9999
120,1522080.0,-2137950.0,-9999
121,1533810.0,-2169420.0,-9999
122,1504740.0,-2128680.0,-9999
123,2168730.0,-2347140.0,-9999
124,1515870.0,-2132100.0,-9999
125,2229810.0,-2348190.0,-9999
126,2228790.0,-2346660.0,-9999
127,2191470.0,-2347320.0,-9999
128,1499130.0,-2116020.0,-9999
129,2229900.0,-2345430.0,-9999
130,2188350.0,-2342520.0,-9999
131,1520340.0,-2145270.0,-9999
132,1517640.0,-2131290.0,-9999
133,1519830.0,-2131020.0,-9999
134,1516170.0,-2138310.0,-9999
135,1496910.0,-2111940.0,-9999
136,1527930.0,-2158440.0,-9999
137,2211540.0,-2337420.0,-9999
138,1510410.0,-2123250.0,-9999
139,2208840.0,-2336730.0,-9999
140,1508940.0,-2126700.0,-9999
141,1526610.0,-2161620.0,-9999
142,1504740.0,-2124840.0,-9999
143,1498050.0,-2116860.0,-9999
144,2191140.0,-2342430.0,-9999
145,1518840.0,-2136390.0,-9999
146,1518570.0,-2132190.0,-9999
147,2183820.0,-2348040.0,-9999
148,1515090.0,-2125920.0,-9999
149,2209560.0,-2336400.0,-9999
150,2186670.0,-2342670.0,-9999
151,2182560.0,-2345580.0,-9999
152,2221230.0,-2346780.0,-9999
153,2193180.0,-2340570.0,-9999
154,1499520.0,-2115300.0,-9999
155,2200410.0,-2347110.0,-9999
156,1518450.0,-2132940.0,-9999
157,1532640.0,-2168010.0,-9999
158,2110800.0,-2109300.0,12
159,2200230.0,-2348160.0,-9999
160,2199270.0,-2338860.0,-9999
161,1537350.0,-2172420.0,-9999
162,1513170.0,-2125590.0,-9999
163,1521300.0,-2135910.0,-9999
164,2207070.0,-2345460.0,-9999
165,2220300.0,-2346570.0,-9999
166,2211150.0,-2337870.0,-9999
167,2193210.0,-2338380.0,-9999
168,2193900.0,-2340300.0,-9999
169,2188050.0,-2344500.0,-9999
170,1503720.0,-2126370.0,-9999
171,1535970.0,-2169150.0,-9999
172,2209710.0,-2340210.0,-9999
173,2123970.0,-2347710.0,-9999
174,2217570.0,-2348700.0,-9999
175,1516020.0,-2126130.0,-9999
176,2224320.0,-2346960.0,-9999
177,1504440.0,-2115810.0,-9999
178,2195040.0,-2336490.0,-9999
179,2214810.0,-2337960.0,-9999
180,2005020.0,-2303400.0,12
181,2194590.0,-2339550.0,-9999
182,1521960.0,-2149920.0,-9999
183,2192280.0,-2343960.0,-9999
184,2227080.0,-2343300.0,-9999
185,2213970.0,-2341680.0,-9999
186,1508640.0,-2129160.0,-9999
