incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg01,DayPrecip01,DayRelHumAvg01,DaySoilTmpAvg01,DayWindSpdAvg01,DayAirTmpAvg02,DayPrecip02,DayRelHumAvg02,DaySoilTmpAvg02,DayWindSpdAvg02,DayAirTmpAvg03,DayPrecip03,DayRelHumAvg03,DaySoilTmpAvg03,DayWindSpdAvg03,DayAirTmpAvg04,DayPrecip04,DayRelHumAvg04,DaySoilTmpAvg04,DayWindSpdAvg04,DayAirTmpAvg05,DayPrecip05,DayRelHumAvg05,DaySoilTmpAvg05,DayWindSpdAvg05,DayAirTmpAvg06,DayPrecip06,DayRelHumAvg06,DaySoilTmpAvg06,DayWindSpdAvg06,DayAirTmpAvg07,DayPrecip07,DayRelHumAvg07,DaySoilTmpAvg07,DayWindSpdAvg07,DayAirTmpAvg08,DayPrecip08,DayRelHumAvg08,DaySoilTmpAvg08,DayWindSpdAvg08,DayAirTmpAvg09,DayPrecip09,DayRelHumAvg09,DaySoilTmpAvg09,DayWindSpdAvg09,DayAirTmpAvg10,DayPrecip10,DayRelHumAvg10,DaySoilTmpAvg10,DayWindSpdAvg10,DayAirTmpAvg11,DayPrecip11,DayRelHumAvg11,DaySoilTmpAvg11,DayWindSpdAvg11,DayAirTmpAvg12,DayPrecip12,DayRelHumAvg12,DaySoilTmpAvg12,DayWindSpdAvg12,DayAirTmpAvg13,DayPrecip13,DayRelHumAvg13,DaySoilTmpAvg13,DayWindSpdAvg13,DayAirTmpAvg14,DayPrecip14,DayRelHumAvg14,DaySoilTmpAvg14,DayWindSpdAvg14,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
 Bridge Fire,Y,2018-01-09T13:46:00Z,2017-10-31T11:22:00Z, Shasta-Trinity National Forest ,,Shasta,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ",37.0,100.0,, Shasta-Trinity National Forest ,-122.309,40.774,,2ca11d45-8139-4c16-8af0-880d99b21e82,https://www.fire.ca.gov/incidents/2017/10/31/bridge-fire/,2018-01-09T13:46:00Z,2018-01-09,2017-10-31,N,False,False,9.6,0.0,44.0,12.0,1.1,9.3,0.0,43.0,12.2,1.4,7.6,9.6,68.0,12.1,3.2,4.6,0.1,79.0,12.2,2.8,5.5,0.1,80.0,11.2,1.3,9.2,0.0,76.0,11.4,1.2,12.3,0.0,71.0,11.9,1.9,14.5,0.0,53.0,12.3,2.2,10.6,0.0,61.0,12.3,1.0,10.0,0.0,62.0,12.1,1.0,11.0,0.0,61.0,12.1,0.9,11.2,0.0,60.0,12.1,1.1,10.2,0.0,62.0,12.1,0.8,9.5,0.0,66.0,11.9,2.8,,,,,
Pala Fire,Y,2020-09-16T14:07:35Z,2009-05-24T14:56:00Z,CAL FIRE San Diego Unit,,San Diego,"Hwy 76 and Pala Temecula, northwest of Pala",122.0,100.0,,CAL FIRE San Diego Unit,1.0,1.0,Wildfire,8f61f461-552d-4538-b186-35ab030da416,https://www.fire.ca.gov/incidents/2009/5/24/pala-fire/,2009-05-25T00:00:00Z,2009-05-25,2009-05-24,N,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,0.0,28.0,22.8,2.5,,,,,
River Fire,Y,2022-10-24T11:39:23Z,2013-02-24T08:16:00Z,CAL FIRE San Bernardino Unit,,Inyo,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",407.0,100.0,,"CAL FIRE San Bernardino Unit, Inyo County Sheriff, US Forest Service, BLM, LADWP, Lone Pine Volunteer Fire Department, Big Pine Volunteer Fire Department, Olancha Volunteer Fire Department, Independence Volunteer Fire Department.",-118.01651,36.602575,,094719ba-a47b-4abb-9ec5-a506b2b9fd23,https://www.fire.ca.gov/incidents/2013/2/24/river-fire/,2013-02-28T20:00:00Z,2013-02-28,2013-02-24,N,True,False,1.9,0.0,35.0,4.6,2.9,2.0,0.0,27.0,4.4,2.3,4.5,0.0,28.0,4.6,1.9,6.2,0.0,34.0,5.1,1.9,7.3,0.0,36.0,5.7,2.0,6.0,0.0,31.0,5.9,1.4,4.6,0.0,27.0,5.9,1.4,5.4,0.0,21.0,5.8,1.6,4.4,0.0,29.0,5.8,2.3,3.2,0.0,29.0,5.7,2.7,3.3,0.0,33.0,5.9,3.2,1.0,0.0,30.0,5.5,2.0,4.5,0.0,26.0,5.6,1.7,2.1,0.0,36.0,5.8,3.3,,,,,
Fawnskin Fire,Y,2013-04-22T09:00:00Z,2013-04-20T17:30:00Z,San Bernardino National Forest,,San Bernardino,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",30.0,100.0,,San Bernardino National Forest,-116.941311,34.288877,,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,https://www.fire.ca.gov/incidents/2013/4/20/fawnskin-fire/,2013-04-22T09:00:00Z,2013-04-22,2013-04-20,N,False,False,16.0,0.0,66.0,18.3,1.9,15.5,0.0,66.0,17.9,1.6,14.0,0.1,58.0,17.5,2.6,15.7,0.0,31.0,16.4,3.3,19.4,0.0,18.0,16.0,3.0,16.7,0.0,41.0,16.1,1.9,16.4,0.0,62.0,17.1,1.7,14.2,0.0,75.0,17.3,1.8,13.3,0.0,70.0,17.2,1.7,13.8,0.0,66.0,16.8,2.0,12.3,0.0,52.0,16.4,2.4,14.2,0.0,24.0,15.3,3.1,17.1,0.0,16.0,14.8,3.3,19.0,0.0,17.0,15.1,1.8,,,,,
Gold Fire,Y,2013-05-01T07:00:00Z,2013-04-30T12:59:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,274.0,100.0,,CAL FIRE Madera-Mariposa-Merced Unit,-119.635004,37.116295,,357ffc13-bef9-48eb-810f-c5de851972eb,https://www.fire.ca.gov/incidents/2013/4/30/gold-fire/,2013-05-01T07:00:00Z,2013-05-01,2013-04-30,N,True,False,12.7,0.0,36.0,16.2,4.9,13.8,0.0,31.0,16.2,5.0,14.9,0.0,35.0,16.1,1.6,17.7,0.0,36.0,16.2,2.3,20.1,0.0,40.0,16.6,4.2,20.4,0.0,38.0,16.9,2.4,21.5,0.0,39.0,17.2,2.7,21.3,0.0,30.0,17.3,3.3,20.6,0.0,36.0,17.4,3.4,18.8,0.0,52.0,17.5,2.5,19.5,0.0,47.0,17.6,2.3,21.7,0.0,44.0,17.6,2.2,22.7,0.0,37.0,17.8,2.6,23.8,0.0,38.0,17.8,3.2,,,,,
Panther Fire,Y,2022-10-24T11:40:03Z,2013-05-01T09:12:00Z,CAL FIRE Butte Unit,,Tehama,"140K3 Line, 8 miles northwest of Butte Meadows",6896.0,100.0,,"CAL FIRE Butte Unit, CAL FIRE, USFS (Lassen and Plumas NF), CDCR, SPI, Collins Pine, Chico Fire Department",-121.595555,40.190062,,53122f0f-fefc-4dbf-b2d8-566b42ced66d,https://www.fire.ca.gov/incidents/2013/5/1/panther-fire/,2013-05-09T09:00:00Z,2013-05-09,2013-05-01,N,True,False,12.9,0.0,38.0,14.7,4.2,15.0,0.0,51.0,15.1,2.4,17.1,0.0,52.0,15.8,2.1,18.7,0.0,39.0,16.3,3.4,20.7,0.0,38.0,16.6,3.3,21.5,0.0,30.0,17.0,5.1,20.2,0.0,23.0,16.8,4.4,21.4,0.0,22.0,16.8,4.1,16.8,0.0,55.0,17.0,2.1,17.7,0.0,66.0,17.3,1.5,20.1,0.0,64.0,17.9,1.5,23.2,0.0,38.0,18.2,3.3,23.7,0.0,31.0,18.3,5.3,20.6,0.0,20.0,17.9,7.5,,,,,
Silverado Fire,Y,2013-05-01T17:15:00Z,2013-04-30T23:44:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Napa,"7300 block of Silverado Trail, north of Napa",75.0,100.0,,CAL FIRE Sonoma-Lake-Napa Unit,-122.350844,38.441792,,d8d1c943-7b5d-4885-9043-f41075d6eded,https://www.fire.ca.gov/incidents/2013/4/30/silverado-fire/,2013-05-01T17:15:00Z,2013-05-01,2013-04-30,N,True,False,12.3,0.0,54.0,14.7,3.6,14.9,0.0,44.0,14.7,2.7,16.0,0.0,52.0,14.8,2.2,15.8,0.0,62.0,15.0,2.2,17.4,0.0,53.0,15.4,2.4,16.6,0.0,56.0,15.6,1.4,18.1,0.0,45.0,15.8,1.6,16.5,0.0,43.0,16.0,2.3,12.3,0.0,80.0,16.1,2.1,12.3,0.0,82.0,16.0,2.5,13.2,0.0,79.0,15.9,2.6,13.3,0.0,79.0,16.0,1.8,15.8,0.0,73.0,16.2,1.3,19.3,0.0,59.0,16.4,2.6,,,,,
Yellow Fire,Y,2013-05-03T06:15:00Z,2013-05-01T02:01:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Sonoma,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",125.0,100.0,,CAL FIRE Sonoma-Lake-Napa Unit,-122.655616,38.638828,,64e4f81e-d872-44c4-ba8d-111fa77124ba,https://www.fire.ca.gov/incidents/2013/5/1/yellow-fire/,2013-05-03T06:15:00Z,2013-05-03,2013-05-01,N,True,False,14.1,0.0,43.0,13.2,1.9,15.0,0.0,51.0,13.4,1.5,16.6,0.0,57.0,13.9,2.3,18.0,0.0,46.0,14.8,1.9,17.7,0.0,52.0,14.7,1.3,19.6,0.0,48.0,15.3,1.5,18.4,0.0,38.0,15.6,2.2,11.3,0.0,81.0,15.2,2.3,12.2,0.0,77.0,15.0,1.7,11.8,0.0,83.0,14.6,1.6,12.9,0.0,78.0,15.0,1.5,16.4,0.1,64.0,15.0,1.2,21.3,0.0,46.0,16.0,1.9,20.9,0.0,34.0,16.6,2.0,,,,,
Summit Fire,Y,2022-10-24T11:40:42Z,2013-05-01T12:38:00Z,CAL FIRE/Riverside County Fire ,,Riverside,Mias Canyon and Bluff Road in Banning,2956.0,100.0,,CAL FIRE/Riverside County Fire ,-116.941311,34.288877,,a1b14be5-a8cf-4e40-8588-96becf4c5879,https://www.fire.ca.gov/incidents/2013/5/1/summit-fire/,2013-05-04T18:30:00Z,2013-05-04,2013-05-01,N,True,False,14.2,0.0,24.0,15.3,3.1,17.1,0.0,16.0,14.8,3.3,19.0,0.0,17.0,15.1,1.8,21.0,0.0,25.0,16.0,1.8,20.8,0.0,31.0,17.1,1.9,16.8,0.0,55.0,17.4,2.0,17.6,0.0,56.0,18.1,1.9,15.0,0.0,69.0,18.2,2.5,15.8,0.0,57.0,18.0,1.8,17.9,0.0,50.0,18.1,1.7,20.0,0.0,49.0,18.6,1.8,20.0,0.0,53.0,19.2,1.7,18.8,0.0,59.0,19.6,1.8,16.2,0.0,68.0,19.6,2.1,,,,,
Tres Pinos Fire,Y,2013-05-03T18:45:00Z,2013-05-03T11:42:00Z,CAL FIRE San Benito-Monterey ,,San Benito,"Highway 25 and Horizon Rd, Community of Tres ",354.0,100.0,,CAL FIRE San Benito-Monterey ,-120.937494,37.160346,,ca68f3c4-4906-4952-b794-4531d7da8369,https://www.fire.ca.gov/incidents/2013/5/3/tres-pinos-fire/,2013-05-03T18:45:00Z,2013-05-03,2013-05-03,N,True,False,18.0,0.0,42.0,14.6,2.0,19.3,0.0,41.0,15.2,4.2,19.9,0.0,41.0,15.4,2.8,21.1,0.0,37.0,15.7,3.8,20.4,0.0,29.0,15.9,5.0,17.4,0.0,51.0,15.9,4.6,16.8,0.0,61.0,16.2,3.8,17.7,0.0,56.0,16.4,2.7,20.3,0.0,53.0,16.8,2.4,21.4,0.0,48.0,17.0,2.7,23.7,0.0,38.0,17.3,4.0,22.1,0.0,27.0,17.3,6.2,21.3,0.0,29.0,17.1,3.8,22.4,0.0,31.0,17.7,3.1,,,,,
