incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg01,DayPrecip01,DayRelHumAvg01,DaySoilTmpAvg01,DayWindSpdAvg01,DayAirTmpAvg02,DayPrecip02,DayRelHumAvg02,DaySoilTmpAvg02,DayWindSpdAvg02,DayAirTmpAvg03,DayPrecip03,DayRelHumAvg03,DaySoilTmpAvg03,DayWindSpdAvg03,DayAirTmpAvg04,DayPrecip04,DayRelHumAvg04,DaySoilTmpAvg04,DayWindSpdAvg04,DayAirTmpAvg05,DayPrecip05,DayRelHumAvg05,DaySoilTmpAvg05,DayWindSpdAvg05,DayAirTmpAvg06,DayPrecip06,DayRelHumAvg06,DaySoilTmpAvg06,DayWindSpdAvg06,DayAirTmpAvg07,DayPrecip07,DayRelHumAvg07,DaySoilTmpAvg07,DayWindSpdAvg07,DayAirTmpAvg08,DayPrecip08,DayRelHumAvg08,DaySoilTmpAvg08,DayWindSpdAvg08,DayAirTmpAvg09,DayPrecip09,DayRelHumAvg09,DaySoilTmpAvg09,DayWindSpdAvg09,DayAirTmpAvg10,DayPrecip10,DayRelHumAvg10,DaySoilTmpAvg10,DayWindSpdAvg10,DayAirTmpAvg11,DayPrecip11,DayRelHumAvg11,DaySoilTmpAvg11,DayWindSpdAvg11,DayAirTmpAvg12,DayPrecip12,DayRelHumAvg12,DaySoilTmpAvg12,DayWindSpdAvg12,DayAirTmpAvg13,DayPrecip13,DayRelHumAvg13,DaySoilTmpAvg13,DayWindSpdAvg13,DayAirTmpAvg14,DayPrecip14,DayRelHumAvg14,DaySoilTmpAvg14,DayWindSpdAvg14
Corral Fire,Y,2018-04-05T10:48:00Z,2017-09-19T14:05:00Z,Unified Command: Alameda County Fireand CAL FIRE Santa Clara Unit,,Alameda,"Off Corral Hollow Road, South of Tracy",155.0,100.0,,Unified Command: Alameda County Fireand CAL FIRE Santa Clara Unit,-121.49925,37.63358,,19ada70e-4932-449c-8483-d65685995487,https://www.fire.ca.gov/incidents/2017/9/19/corral-fire/,2018-04-05T10:48:00Z,2018-04-05,2017-09-19,N,TRUE,FALSE,26.3,0.0,60.0,24.3,3.7,24.3,0.0,58.0,24.2,3.2,21.6,0.0,65.0,23.0,3.8,22.9,0.0,60.0,22.9,2.1,24.4,0.0,54.0,23.5,2.2,26.9,0.0,42.0,23.7,2.2,27.4,0.0,40.0,24.0,2.1,25.9,0.2,50.0,23.8,2.9,22.0,0.7,64.0,23.1,3.4,19.7,0.0,61.0,22.3,2.4,20.4,0.0,55.0,21.3,2.6,21.2,0.0,48.0,21.5,2.1,20.6,0.0,46.0,21.2,2.2,21.0,0.0,59.0,21.0,4.2
Edwards Fire,Y,2018-01-09T13:25:00Z,2017-09-26T12:22:00Z,Oakland City Fire Department,,Alameda,"Edwards Ave and Mountain Blvd, 6 miles southeast of Oakland",22.0,100.0,,Oakland City Fire Department,-122.169,37.77982,,c4f61042-d1ef-4d00-956d-785368ee34ca,https://www.fire.ca.gov/incidents/2017/9/26/edwards-fire/,2018-01-09T13:25:00Z,2018-01-09,2017-09-26,N,FALSE,FALSE,20.4,1.3,73.0,22.3,1.9,17.6,0.3,84.0,21.8,2.3,16.4,0.3,78.0,21.4,2.6,16.0,1.8,73.0,20.6,1.9,17.5,0.4,67.0,20.3,1.8,16.9,0.4,73.0,20.4,2.5,17.2,0.2,79.0,20.3,2.4,15.7,1.0,62.0,19.6,1.5,15.8,1.6,78.0,19.2,1.9,14.1,1.0,62.0,18.6,1.9,12.7,0.8,71.0,18.0,1.4,14.4,0.2,50.0,17.7,1.3,15.4,1.5,46.0,17.6,1.2,16.8,1.0,46.0,17.9,1.1
Fallon Fire,Y,2018-01-09T13:41:00Z,2017-10-17T14:00:00Z,CAL FIRE Santa Clara Unit,,Alameda,off Fallon Road 3 miles East of Dublin,116.0,100.0,,CAL FIRE Santa Clara Unit,-121.85663,37.7393,,e8c7f247-bc31-4e5b-bf71-fe903366d9e5,https://www.fire.ca.gov/incidents/2017/10/17/fallon-fire/,2018-01-09T13:41:00Z,2018-01-09,2017-10-17,N,TRUE,FALSE,17.7,0.0,33.0,16.8,3.1,17.2,0.0,38.0,17.0,1.7,18.4,0.0,32.0,16.9,2.0,19.4,0.0,28.0,16.9,2.1,19.3,0.0,37.0,17.4,1.9,20.1,0.0,28.0,17.0,5.2,19.5,0.0,22.0,17.3,3.1,17.7,0.0,34.0,16.8,1.7,16.0,0.0,38.0,15.8,2.7,16.9,0.0,23.0,15.0,3.9,16.3,0.0,33.0,14.9,2.4,17.5,0.0,31.0,15.4,3.4,16.1,0.0,38.0,15.5,1.4,17.1,0.0,34.0,15.3,1.6
Grant Fire,Y,2019-01-04T10:25:00Z,2018-05-14T13:06:00Z,CAL FIRE Santa Clara Unit,,Alameda,"Grant Line Road and I-580, east of Livermore",12.0,100.0,,CAL FIRE Santa Clara Unit,-121.6039,37.73835,,f78b2acd-fff2-413a-93d6-8479e138120b,https://www.fire.ca.gov/incidents/2018/5/14/grant-fire/,2019-01-04T10:25:00Z,2019-01-04,2018-05-14,N,TRUE,FALSE,14.9,0.0,61.0,17.6,2.4,17.1,0.0,49.0,17.9,3.2,17.1,0.0,54.0,18.3,2.3,17.2,0.0,56.0,18.5,2.2,19.4,0.0,52.0,19.1,1.9,19.2,0.0,48.0,19.2,2.6,17.6,0.0,53.0,19.3,2.7,20.9,0.0,44.0,19.9,2.7,21.2,0.0,46.0,20.5,2.3,19.9,0.0,47.0,20.6,3.5,19.9,0.0,50.0,20.7,2.7,21.5,0.0,33.0,19.9,5.2,21.5,0.0,33.0,20.3,3.9,17.0,0.0,61.0,20.2,3.1
Grant Fire,Y,2019-10-25T09:01:35Z,2018-05-30T13:21:00Z,CAL FIRE Santa Clara Unit,,Alameda,"near Grant Line Rd and Mountain House Rd, Altamont Area ",484.0,100.0,,CAL FIRE Santa Clara Unit,-121.57918,37.75375,Wildfire,503cf916-4f56-4be7-8083-730122f686dc,https://www.fire.ca.gov/incidents/2018/5/30/grant-fire/,2019-01-04T10:20:00Z,2019-01-04,2018-05-30,N,TRUE,FALSE,16.6,0.0,54.0,20.1,2.9,17.9,0.0,58.0,20.5,2.4,18.7,0.0,61.0,21.2,2.0,17.2,0.0,57.0,21.0,3.1,15.5,0.0,62.0,20.4,3.0,18.3,0.0,58.0,20.8,2.1,17.3,0.0,64.0,21.4,2.2,16.2,0.0,67.0,21.0,2.6,16.1,0.0,63.0,20.6,3.6,15.5,0.0,66.0,19.7,2.4,17.4,0.0,66.0,19.8,2.1,21.7,0.0,51.0,21.3,2.3,24.7,0.0,45.0,22.7,2.0,25.5,0.0,43.0,23.7,2.4
Vallecitos Fire,Y,2019-01-04T10:04:00Z,2018-06-17T15:56:00Z,CAL FIRE Santa Clara Unit,,Alameda,"off Vallecitos Road and Little Valley, south of Livermore",20.0,100.0,,CAL FIRE Santa Clara Unit,-121.806775,37.627119,,1f49d4b1-f08f-4fce-8b55-48ff0e521a2f,https://www.fire.ca.gov/incidents/2018/6/17/vallecitos-fire/,2019-01-04T10:04:00Z,2019-01-04,2018-06-17,N,TRUE,FALSE,25.7,0.0,43.0,23.9,1.6,23.1,0.0,38.0,23.4,3.3,19.9,0.0,42.0,22.9,2.1,17.2,0.0,59.0,22.1,2.8,18.8,0.0,56.0,22.3,2.0,22.2,0.0,41.0,22.6,2.9,19.1,0.0,50.0,22.4,3.8,19.3,0.0,38.0,21.9,3.0,22.6,0.0,44.0,22.9,2.2,25.2,0.0,42.0,23.8,2.3,24.5,0.0,49.0,24.3,2.0,22.5,0.0,48.0,24.2,2.1,19.4,0.0,57.0,23.4,2.2,18.5,0.0,62.0,22.8,2.6
Mokelumne Fire,Y,2016-08-30T12:05:00Z,2016-08-18T12:05:00Z,Stanislaus National Forest,,Alpine,Mokelumne Wilderness,0.0,100.0,,Stanislaus National Forest,-120.00606,38.57554,,5823867d-c458-4673-858f-0ded99b6121f,https://www.fire.ca.gov/incidents/2016/8/18/mokelumne-fire/,2016-08-30T12:05:00Z,2016-08-30,2016-08-18,N,FALSE,FALSE,25.1,0.0,21.0,19.4,2.5,22.9,0.0,23.0,19.2,2.4,22.8,0.0,27.0,18.9,2.7,23.2,0.0,25.0,18.9,2.6,23.5,0.0,22.0,18.7,2.6,23.7,0.0,22.0,18.6,2.6,23.6,0.0,27.0,18.7,2.4,24.6,0.0,28.0,18.7,2.1,26.0,0.0,26.0,18.9,2.2,27.7,0.0,22.0,19.1,2.3,28.1,0.0,19.0,19.2,2.5,27.2,0.0,21.0,19.3,2.4,27.1,0.0,25.0,19.4,2.3,27.2,0.0,24.0,19.5,2.4
Deer Fire,Y,2016-08-06T10:06:00Z,2016-08-05T13:49:00Z,CAL FIRE Amador - El Dorado Unit,,Amador,"off of Deer Ridge Lane and Buena Vista Road, north of Valley Springs ",26.0,100.0,,CAL FIRE Amador - El Dorado Unit,-120.8657,38.2581,,38fe21ed-2019-4be9-abdf-bf46ac5f59e3,https://www.fire.ca.gov/incidents/2016/8/5/deer-fire/,2016-08-06T10:06:00Z,2016-08-06,2016-08-05,N,TRUE,FALSE,21.2,0.0,56.0,19.7,1.8,24.0,0.0,50.0,19.6,1.9,24.1,0.0,56.0,19.8,1.4,21.9,0.0,56.0,20.1,1.6,29.8,0.0,44.0,20.1,1.6,25.9,0.0,48.0,20.4,2.0,25.4,0.0,47.0,20.9,2.1,26.0,0.0,44.0,21.2,2.5,23.8,0.0,48.0,21.5,2.7,20.4,0.0,64.0,21.6,2.5,20.3,0.0,62.0,21.5,2.4,21.1,0.0,60.0,21.5,1.8,22.0,0.0,59.0,21.4,2.3,18.1,0.0,68.0,21.4,4.0
Bell Fire,Y,2016-09-25T17:45:00Z,2016-09-23T13:12:00Z,CAL FIRE Amador-El Dorado Unit,,Amador,"off Hwy 49 and Bell Road, 4 miles north of Plymouth",45.0,100.0,,"CAL FIRE Amador-El Dorado Unit, Amador Fire Protection District, Jackson Fire, Ione Fire, Sutter Creek Fire, CHP, Amador County Sheriff, Caltrans",-120.8416,38.5212,,0bf08653-1441-4e73-b24b-1296afb12b45,https://www.fire.ca.gov/incidents/2016/9/23/bell-fire/,2016-09-25T17:45:00Z,2016-09-25,2016-09-23,N,TRUE,FALSE,27.0,0.0,28.0,18.1,1.9,25.2,0.0,28.0,18.3,2.2,23.1,0.0,31.0,18.4,2.7,17.5,0.0,40.0,18.2,2.5,12.2,0.1,60.0,17.7,1.7,15.8,0.0,45.0,17.2,2.1,18.6,0.0,38.0,17.0,2.0,21.5,0.0,29.0,17.1,2.2,24.1,0.0,20.0,17.2,2.5,25.5,0.0,19.0,17.4,2.4,25.8,0.0,20.0,17.6,2.8,23.0,0.0,25.0,17.8,2.5,18.0,0.0,24.0,17.7,2.9,11.8,0.0,55.0,17.1,2.2
Sandra Fire,Y,2018-01-09T12:46:00Z,2017-08-28T17:06:00Z,CAL FIRE Amador-El Dorado Unit,,Amador,"Butte Mountain road, 3 miles east of Jackson",10.0,100.0,,CAL FIRE Amador-El Dorado Unit,-120.72274,38.34421,,f3c1f59e-b0d5-4c14-976f-ae6c583b2224,https://www.fire.ca.gov/incidents/2017/8/28/sandra-fire/,2018-01-09T12:46:00Z,2018-01-09,2017-08-28,N,TRUE,FALSE,21.7,0.0,46.0,19.9,2.5,20.8,0.0,53.0,19.8,1.9,22.3,0.0,49.0,19.7,1.9,24.6,0.0,45.0,19.7,1.9,26.4,0.0,40.0,19.9,1.9,26.8,0.0,34.0,20.1,2.0,25.7,0.0,35.0,20.1,2.2,23.3,0.0,45.0,20.1,2.1,25.7,0.0,37.0,20.0,2.5,26.5,0.0,33.0,20.1,2.6,25.7,0.0,28.0,20.1,2.5,26.8,0.0,24.0,20.0,2.5,29.4,0.0,20.0,20.0,2.8,30.4,0.0,18.0,20.2,2.6
