incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
Cameron Fire,Y,2020-10-21T17:16:51Z,2020-10-18T20:42:24Z,CAL FIRE Amador-El Dorado Unit,,El Dorado,North of Durock Road and South of Highway 50 between Cameron Park Drive and Ponderosa Road in El Dorado county. ,15.0,100.0,,,-120.964726,38.659387,Wildfire,cbd8fd0c-8d0f-4df3-aea3-1355a685bb96,https://www.fire.ca.gov/incidents/2020/10/18/cameron-fire/,2020-10-21T17:16:00Z,2020-10-21,2020-10-18,N,True,False,,,,,,22.9,0.0,24.0,18.1,2.4
Brandon Fire,Y,2020-07-08T20:33:43Z,2020-07-07T16:06:21Z,CAL FIRE Amador-El Dorado Unit,,El Dorado, Brandon Rd,32.0,100.0,,"Cameron Park Fire Dept, Shingle Springs Rancheria Tribal Fire Dept, El Dorado Hills Fire Dept., Garden Valley Fire Protection Dist., Rescue Fire Protection Dist., Diamond Springs-El Dorado Fire Protection Dist., Bureau of Land Management, USFS, El Dorado County Sheriff’s Office, PG&E",-120.941267,38.58488,Wildfire,f398ee10-0c99-4096-be61-7c1611035ce1,https://www.fire.ca.gov/incidents/2020/7/7/brandon-fire/,,,2020-07-07,N,True,False,,,,,,25.7,0.0,34.0,19.3,2.4
Kyburz Fire,Y,2015-07-29T14:15:00Z,2015-07-23T14:00:00Z,USFS - El Dorado National Forest ,,El Dorado,off Hwy 50 at White Hall Canyon Dr in Kyburz,75.0,100.0,,USFS - El Dorado National Forest ,-120.404,38.776,,74635a69-f34f-4c6e-9e09-1a32d732bb42,https://www.fire.ca.gov/incidents/2015/7/23/kyburz-fire/,2015-07-29T14:15:00Z,2015-07-29,2015-07-23,N,False,False,,,,,,21.2,0.0,28.0,19.5,2.3
Mineral Fire,Y,2022-10-24T11:12:12Z,2016-08-08T13:08:00Z,CAL FIRE Fresno Kings Unit,,Fresno,"off Hwy 198 & Mineral Springs Rd, W of Coalinga",7050.0,100.0,,"CAL FIRE Fresno Kings Unit, Fresno County Sheriffs Office, Fresno County OES, Fresno County Roads, Bureau Of Land Management, California Department of Corrections, City of Coalinga, California Conservation Corps, California Highway Patrol, CalTrans, Red Cross  www",-120.51057,36.09974,,346c59b1-375e-4d42-876a-d97b769c939f,https://www.fire.ca.gov/incidents/2016/8/8/mineral-fire/,2016-08-18T19:00:00Z,2016-08-18,2016-08-08,N,True,False,,,,,,25.2,0.0,27.0,23.7,2.0
Lake Fire,Y,2014-01-26T18:00:00Z,2014-01-25T06:37:00Z,CAL FIRE Fresno-Kings Unit,,Fresno,off Trimmer Springs Rd & Sunnyslope Rd near Pine Flat Lake ,106.0,100.0,,CAL FIRE Fresno-Kings Unit,-119.3415,36.8266,,d529636e-33d0-484b-9c6f-093ba33736b7,https://www.fire.ca.gov/incidents/2014/1/25/lake-fire/,2014-01-26T18:00:00Z,2014-01-26,2014-01-25,N,True,False,,,,,,14.0,0.0,38.0,11.8,0.9
Chrome Fire,Y,2019-01-04T10:09:00Z,2018-06-09T15:32:00Z,CAL FIRE Tehama-Glenn Unit,,Glenn,"Hwy 162 and Forest Hwy 7, north of Elk Creek",2290.0,100.0,,CAL FIRE Tehama-Glenn Unit,-122.58218,39.64978,,1d926fc4-0f23-47dd-a750-5e7fac4ad416,https://www.fire.ca.gov/incidents/2018/6/9/chrome-fire/,2019-01-04T10:09:00Z,2019-01-04,2018-06-09,N,True,False,,,,,,,,,,2.8
Edward Fire,Y,2022-10-27T11:54:45Z,2022-05-24T10:53:00Z,Orland Fire Department,,Glenn,"Near County Road 200 and County Road FF, northwest of Orland",,,,,-122.229859,39.761232,Fire,b0f0e47b-416f-498c-8239-fd3ddd7d6abc,https://www.fire.ca.gov/incidents/2022/5/24/edward-fire/,2022-05-25T10:09:59Z,2022-05-25,2022-05-24,N,False,False,,,,,,,,,,2.9
306 Fire,Y,2013-05-05T18:00:00Z,2013-05-01T19:00:00Z,CAL FIRE Tehama-Glenn Unit,,Glenn,2 miles south of the community of Elk Creek,217.0,100.0,,CAL FIRE Tehama-Glenn Unit,-122.560862,39.514139,,5649e78d-7c26-4698-89a0-b0fa9a35cf78,https://www.fire.ca.gov/incidents/2013/5/1/306-fire/,2013-05-05T18:00:00Z,2013-05-05,2013-05-01,N,True,False,,,,,,,,,,3.6
Elk Fire,Y,2019-12-06T11:10:27Z,2019-10-04T12:03:48Z,CAL FIRE Tehama-Glenn Unit,,Glenn,Elk Creek,63.0,100.0,,,-123.4375,41.70611111,Wildfire,082bd2d3-457b-496b-a469-0d2550aac7ef,https://www.fire.ca.gov/incidents/2019/10/4/elk-fire/,2019-10-03T12:03:00Z,2019-10-03,2019-10-04,N,True,False,,,,,,4.1,0.0,65.0,11.4,1.3
Chrome Fire,Y,2019-01-04T10:21:00Z,2018-05-28T17:33:00Z,CAL FIRE Tehama-Glenn Unit,,Glenn,"Hwy 162 and Forest Hwy 7, northwest of Elk Creek",75.0,100.0,,CAL FIRE Tehama-Glenn Unit,-122.58666,39.65578,,09f22e57-6058-4a87-972a-ece08f4527d4,https://www.fire.ca.gov/incidents/2018/5/28/chrome-fire/,2019-01-04T10:21:00Z,2019-01-04,2018-05-28,N,True,False,,,,,,,,,,1.9
4-8 Fire,Y,2020-08-19T21:08:52Z,2020-08-17T14:16:58Z,CAL FIRE Tehama-Glenn Unit,,Glenn,"Highway 162 and County Road 302, west of Willows",275.0,100.0,,CAL FIRE Tehama-Glenn Unit,-122.5012461,39.555943,Wildfire,625e0c82-b8a2-4acc-8ff5-19787ca65b69,https://www.fire.ca.gov/incidents/2020/8/17/4-8-fire/,2020-08-19T21:08:00Z,2020-08-19,2020-08-17,N,True,False,,,,,,,,,,1.9
