incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
Sam Fire,Y,2022-08-11T19:23:16Z,2022-08-10T16:07:00Z,Los Angeles County Fire Department ,,Los Angeles,"Lancaster Road and Old Ridge Route Road, near Gorman ",149.0,100.0,,"Cooperating Agencies: Mariposa County, PG&E, California Highway Patrol, Southern Sierra Miwuk Nation, Picayune Rancheria of Chuckchansi Indians, North Fork Mono Indians, California Department of Transportation, California Department of Corrections and Rehabilitation, Yosemite National Park, North Fork Rancheria, California Conservation Corps, Mariposa Public Utilities District, Civil Air Patrol",-118.732882,34.765322,Wildfire,0f52278a-7102-48c5-a904-c9153187a3a2,https://www.fire.ca.gov/incidents/2022/8/10/sam-fire/,,,2022-08-10,N,False,False,,,,,,,,,,0.0
Broad Fire,Y,2024-11-08T09:06:09Z,2024-11-06T10:09:58Z,Los Angeles County Fire Department,,Los Angeles,"Southwest of South Malibu Canyon Road & Pacific Coast Highway, Malibu",50.0,100.0,,,-118.704833,34.033917,Wildfire,698b289b-437c-4961-b187-c1f03a8edbe6,https://www.fire.ca.gov/incidents/2024/11/6/broad-fire/,,,2024-11-06,N,False,False,,,,,,,,,,0.0
Soledad Fire,Y,2020-07-15T18:44:23Z,2020-07-05T17:18:35Z,Los Angeles County Fire Department and Angeles National Forest,,Los Angeles,"Soledad Canyon Road and Agua Dulce Canyon Rd, South of Agua Dulce ",1525.0,100.0,,USFS Angeles National Forest,-118.328877,34.467915,Wildfire,2102ace4-f67b-4060-8795-f3cea12917e3,https://www.fire.ca.gov/incidents/2020/7/5/soledad-fire/,2020-07-10T18:44:00Z,2020-07-10,2020-07-05,N,False,False,,,,,,,,,,0.0
Hughes Fire,Y,2025-01-30T22:10:52Z,2025-01-22T10:53:02Z,"Unified Command: CAL FIRE, Angeles National Forest , LA County Fire, and Bureau of Land Management",,Los Angeles,"Lake Hughes Road near Castaic Lake, Castaic",10425.0,100.0,,United States Forest Service,-118.56687,34.553008,Wildfire,bf194e6a-78cb-46bc-849b-567bceaabbb6,https://www.fire.ca.gov/incidents/2025/1/22/hughes-fire/,,,2025-01-22,N,True,False,,,,,,,,,,0.0
Sepulveda Fire,Y,2025-01-24T23:53:36Z,2025-01-23T00:36:20Z,LA City Fire Department,,Los Angeles,Near 405 Freeway in the area of North Sepulveda Boulevard and Getty Center Drive,45.0,100.0,Forward progress stopped.,,-118.47541,34.0968,Wildfire,0434262e-c6ca-4232-a2b4-ad0f5589b036,https://www.fire.ca.gov/incidents/2025/1/23/sepulveda-fire/,2025-01-24T00:00:00Z,2025-01-24,2025-01-23,N,False,False,,,,,,,,,,0.0
Eaton Flood,Y,2025-02-18T09:17:31Z,2025-02-13T13:51:16Z,Los Angeles County Fire Department,,Los Angeles,"Near Altadena Drive and Midwick Drive, Altadena/Pasadena",0.0,,,,-118.1584203,34.2038707,Flood,d49b7509-2632-4153-8252-ec4de0e385ff,https://www.fire.ca.gov/incidents/2025/2/13/eaton-flood/,,,2025-02-13,N,False,False,,,,,,12.5,35.7,93.0,12.5,2.0
Indigo Fire,Y,2024-07-03T06:51:35Z,2024-06-30T14:25:35Z,Los Angeles County Fire,,Los Angeles,"Del Valle Road, Castaic",22.0,100.0,,,-118.64093,34.45733,Wildfire,1a69fba3-9511-4978-b8ec-3392d6a64973,https://www.fire.ca.gov/incidents/2024/6/30/indigo-fire/,,,2024-06-30,N,False,False,,,,,,,,,,0.0
Lincoln Fire,Y,2024-06-12T10:27:42Z,2024-06-11T15:51:07Z,Los Angeles County Fire Department,,Los Angeles," 20th Street, Palmdale ",17.0,100.0,,,-118.09927,34.65729,Wildfire,7860b848-c83b-4f45-9359-91836fc1d8c8,https://www.fire.ca.gov/incidents/2024/6/11/lincoln-fire/,2024-06-11T19:15:00Z,2024-06-11,2024-06-11,N,False,False,,,,,,,,,,0.0
Victoria Fire,Y,2024-07-27T07:28:00Z,2024-07-26T13:00:28Z,Los Angeles County Fire Department,,Los Angeles,"North of Highway 14, Acton",10.0,100.0,,,-118.245656,34.50523,Wildfire,dd43c38f-a57b-496f-a935-d4b2c2cee574,https://www.fire.ca.gov/incidents/2024/7/26/victoria-fire/,,,2024-07-26,N,False,False,,,,,,,,,,0.0
Sunrise Fire,Y,2024-07-03T10:54:25Z,2024-07-01T14:29:58Z,,,Los Angeles,"Big Pines Hwy, South East of Valyermo",35.0,100.0,,,-117.834801,34.432003,Wildfire,4a98e8c8-7580-4a5f-b15d-4f7190db358e,https://www.fire.ca.gov/incidents/2024/7/1/sunrise-fire/,2024-07-03T08:45:00Z,2024-07-03,2024-07-01,N,False,False,,,,,,25.3,0.0,46.0,23.5,1.9
Apollo Fire,Y,2024-09-10T23:27:13Z,2024-09-10T11:46:36Z,Los Angeles County Fire Department,,Los Angeles,"29th Street West and West Aquaduct Road, Fairmont",800.0,100.0,,,-118.53335,34.77011,Wildfire,b84f3e58-3a60-4424-8ea9-3aa7a3d27c58,https://www.fire.ca.gov/incidents/2024/9/10/apollo-fire/,2024-09-10T00:00:00Z,2024-09-10,2024-09-10,N,False,False,,,,,,,,,,0.0
North Fire,Y,2021-05-10T16:58:15Z,2021-04-28T23:04:57Z,Los Angeles County Fire Department,,Los Angeles,"West Live Oak Rd and Biscailuz Rd , Castaic",650.0,100.0,,Los Angeles County Fire Department,-118.616276,34.449686,Wildfire,4f4775e4-cd91-4f78-a1de-9c15213ebed2,https://www.fire.ca.gov/incidents/2021/4/28/north-fire/,2021-05-03T09:57:29Z,2021-05-03,2021-04-28,N,False,False,,,,,,17.1,0.0,46.0,18.7,1.6
